,REF_DATE,GEO,DGUID,Offences,Age_of_accused,Sex_of_accused,Charge_and_case,Type_of_decision,VECTOR,COORDINATE,VALUE
41,2019,Manitoba,2016A000246,Sexual assault,16 and 17 years,Sex unknown,Single-charge cases,Stayed or withdrawn,v60349154,8.8.3.5.3.6,5.0
42,2019,Manitoba,2016A000246,Sexual assault,16 and 17 years,Sex unknown,Multiple-charge cases,Guilty,v60349158,8.8.3.5.4.3,6.0
43,2019,Manitoba,2016A000246,Sexual assault,16 and 17 years,Sex unknown,Multiple-charge cases,Percentage guilty,v61311491,8.8.3.5.4.4,0.55
44,2019,Manitoba,2016A000246,Sexual assault,16 and 17 years,Sex unknown,Multiple-charge cases,Stayed or withdrawn,v60349160,8.8.3.5.4.6,5.0
45,2019,Manitoba,2016A000246,Sexual assault,16 and 17 years,Sex unknown,Related charges,Guilty,v60349164,8.8.3.5.5.3,1.0
46,2019,Manitoba,2016A000246,Sexual assault,16 and 17 years,Sex unknown,Related charges,Percentage guilty,v61311492,8.8.3.5.5.4,0.02
47,2019,Manitoba,2016A000246,Sexual assault,16 and 17 years,Sex unknown,Related charges,Stayed or withdrawn,v60349166,8.8.3.5.5.6,42.0
48,2019,Manitoba,2016A000246,Sexual assault,Other ages,Sex unknown,Single-charge cases,Stayed or withdrawn,v60349334,8.8.4.5.3.6,1.0
49,2019,Manitoba,2016A000246,Sexual assault,Other ages,Sex unknown,Multiple-charge cases,Guilty,v60349338,8.8.4.5.4.3,1.0
50,2019,Manitoba,2016A000246,Sexual assault,Other ages,Sex unknown,Multiple-charge cases,Percentage guilty,v61311511,8.8.4.5.4.4,1.0
51,2019,Manitoba,2016A000246,Sexual assault,Other ages,Sex unknown,Related charges,Stayed or withdrawn,v60349346,8.8.4.5.5.6,4.0
52,2019,Manitoba,2016A000246,Other sexual offences,12 to 15 years,Sex unknown,Multiple-charge cases,Guilty,v60349998,8.9.2.5.4.3,8.0
53,2019,Manitoba,2016A000246,Other sexual offences,12 to 15 years,Sex unknown,Multiple-charge cases,Percentage guilty,v61311581,8.9.2.5.4.4,0.5
54,2019,Manitoba,2016A000246,Other sexual offences,12 to 15 years,Sex unknown,Multiple-charge cases,Acquitted,v60349999,8.9.2.5.4.5,1.0
55,2019,Manitoba,2016A000246,Other sexual offences,12 to 15 years,Sex unknown,Multiple-charge cases,Stayed or withdrawn,v60350000,8.9.2.5.4.6,7.0
56,2019,Manitoba,2016A000246,Other sexual offences,12 to 15 years,Sex unknown,Related charges,Guilty,v60350004,8.9.2.5.5.3,7.0
57,2019,Manitoba,2016A000246,Other sexual offences,12 to 15 years,Sex unknown,Related charges,Percentage guilty,v61311582,8.9.2.5.5.4,0.14
58,2019,Manitoba,2016A000246,Other sexual offences,12 to 15 years,Sex unknown,Related charges,Acquitted,v60350005,8.9.2.5.5.5,1.0
59,2019,Manitoba,2016A000246,Other sexual offences,12 to 15 years,Sex unknown,Related charges,Stayed or withdrawn,v60350006,8.9.2.5.5.6,43.0
60,2019,Manitoba,2016A000246,Other sexual offences,16 and 17 years,Sex unknown,Single-charge cases,Guilty,v60350172,8.9.3.5.3.3,2.0
