,REF_DATE,Admissions,Correctional_services,Corrections,Geography,Population,Youth_corrections_per_1000_population
75,2001,Youth admissions,Secure custody,166.0,Manitoba,1149684,0.14438750126121613
76,2001,Youth admissions,Open custody,267.0,Manitoba,1149684,0.23223772793219702
77,2001,Youth admissions,Supervised probation,1316.0,Manitoba,1149684,1.1446623593961471
78,2001,Youth admissions,Secure custody,261.0,Saskatchewan,1001643,0.260571880400502
79,2001,Youth admissions,Open custody,325.0,Saskatchewan,1001643,0.32446690088185115
80,2001,Youth admissions,Supervised probation,1640.0,Saskatchewan,1001643,1.6373098998345719
81,2001,Youth admissions,Pre-trial detention,2353.0,Alberta,3041238,0.7736980795320854
82,2001,Youth admissions,Secure custody,897.0,Alberta,3041238,0.294945676727701
83,2001,Youth admissions,Open custody,510.0,Alberta,3041238,0.16769486636692033
84,2001,Youth admissions,Supervised probation,2954.0,Alberta,3041238,0.9713149710742797
85,2001,Youth admissions,Pre-trial detention,1610.0,British Columbia,4066132,0.3959536975189197
86,2001,Youth admissions,Secure custody,458.0,British Columbia,4066132,0.11263775991532002
87,2001,Youth admissions,Open custody,546.0,British Columbia,4066132,0.13427994959337278
88,2001,Youth admissions,Supervised probation,3171.0,British Columbia,4066132,0.7798566303307418
89,2002,Youth admissions,Pre-trial detention,6368.0,Ontario,12030408,0.5293253562140204
90,2002,Youth admissions,Secure custody,1601.0,Ontario,12030408,0.13307944335719954
91,2002,Youth admissions,Open custody,1507.0,Ontario,12030408,0.1252659095186132
92,2002,Youth admissions,Supervised probation,7963.0,Ontario,12030408,0.6619060633687569
93,2002,Youth admissions,Pre-trial detention,1966.0,Manitoba,1154737,1.702552182878006
94,2002,Youth admissions,Secure custody,223.0,Manitoba,1154737,0.19311756703041472
95,2002,Youth admissions,Open custody,364.0,Manitoba,1154737,0.3152232932693765
96,2002,Youth admissions,Supervised probation,1087.0,Manitoba,1154737,0.9413398895159677
97,2002,Youth admissions,Secure custody,309.0,Saskatchewan,997740,0.30969992182332073
98,2002,Youth admissions,Open custody,347.0,Saskatchewan,997740,0.347785996351755
99,2002,Youth admissions,Supervised probation,1715.0,Saskatchewan,997740,1.7188846793753885
100,2002,Youth admissions,Pre-trial detention,2225.0,Alberta,3108360,0.7158115533593278
101,2002,Youth admissions,Secure custody,845.0,Alberta,3108360,0.27184753374769977
102,2002,Youth admissions,Open custody,389.0,Alberta,3108360,0.12514637944124876
103,2002,Youth admissions,Supervised probation,2632.0,Alberta,3108360,0.846748767838989
104,2002,Youth admissions,Pre-trial detention,1522.0,British Columbia,4094236,0.37174212722471295
105,2002,Youth admissions,Secure custody,448.0,British Columbia,4094236,0.10942212417652525
