Geography,Q1 1997,Symbol,Q2 1997,Symbol,Q3 1997,Symbol,Q4 1997,Symbol,Q1 1998,Symbol,Q2 1998,Symbol,Q3 1998,Symbol,Q4 1998,Symbol,Q1 1999,Symbol,Q2 1999,Symbol,Q3 1999,Symbol,Q4 1999,Symbol,Q1 2000,Symbol,Q2 2000,Symbol,Q3 2000,Symbol,Q4 2000,Symbol,Q1 2001,Symbol,Q2 2001,Symbol,Q3 2001,Symbol,Q4 2001,Symbol,Q1 2002,Symbol,Q2 2002,Symbol,Q3 2002,Symbol,Q4 2002,Symbol,Q1 2003,Symbol,Q2 2003,Symbol,Q3 2003,Symbol,Q4 2003,Symbol,Q1 2004,Symbol,Q2 2004,Symbol,Q3 2004,Symbol,Q4 2004,Symbol,Q1 2005,Symbol,Q2 2005,Symbol,Q3 2005,Symbol,Q4 2005,Symbol,Q1 2006,Symbol,Q2 2006,Symbol,Q3 2006,Symbol,Q4 2006,Symbol,Q1 2007,Symbol,Q2 2007,Symbol,Q3 2007,Symbol,Q4 2007,Symbol,Q1 2008,Symbol,Q2 2008,Symbol,Q3 2008,Symbol,Q4 2008,Symbol,Q1 2009,Symbol,Q2 2009,Symbol,Q3 2009,Symbol,Q4 2009,Symbol,Q1 2010,Symbol,Q2 2010,Symbol,Q3 2010,Symbol,Q4 2010,Symbol,Q1 2011,Symbol,Q2 2011,Symbol,Q3 2011,Symbol,Q4 2011,Symbol,Q1 2012,Symbol,Q2 2012,Symbol,Q3 2012,Symbol,Q4 2012,Symbol,Q1 2013,Symbol,Q2 2013,Symbol,Q3 2013,Symbol,Q4 2013,Symbol,Q1 2014,Symbol,Q2 2014,Symbol,Q3 2014,Symbol,Q4 2014,Symbol,Q1 2015,Symbol,Q2 2015,Symbol,Q3 2015,Symbol,Q4 2015,Symbol,Q1 2016,Symbol,Q2 2016,Symbol,Q3 2016,Symbol,Q4 2016,Symbol,Q1 2017,Symbol,Q2 2017,Symbol,Q3 2017,Symbol,Q4 2017,Symbol,Q1 2018,Symbol,Q2 2018,Symbol,Q3 2018,Symbol,Q4 2018,Symbol,Q1 2019,Symbol,Q2 2019,Symbol,Q3 2019,Symbol,Q4 2019,Symbol,Q1 2020,Symbol,Q2 2020,Symbol,Q3 2020,Symbol,Q4 2020,Symbol,Q1 2021,Symbol,Q2 2021,Symbol,Q3 2021,Symbol,Q4 2021,Symbol,Q1 2022,Symbol,Q2 2022,Symbol
British Columbia,"3,914,490",,"3,931,056",,"3,948,583",,"3,964,677",,"3,972,821",,"3,977,912",,"3,983,113",,"3,990,451",,"3,995,643",,"4,002,433",,"4,011,375",,"4,021,600",,"4,026,664",,"4,033,319",,"4,039,230",,"4,049,297",,"4,055,229",,"4,066,132",,"4,076,950",,"4,085,648",,"4,087,191",,"4,094,236",,"4,100,564",,"4,108,400",,"4,110,242",,"4,114,925",,"4,124,482",,"4,134,638",,"4,139,946",,"4,145,951",,"4,155,651",,"4,167,810",,"4,174,018",,"4,182,963",,"4,196,062",,"4,212,666",,"4,217,962",,"4,227,986",,"4,241,794",,"4,258,655",,"4,265,321",,"4,276,743",,"4,290,984",,"4,312,042",,"4,319,652",,"4,331,699",,"4,349,336",,"4,371,124",,"4,381,829",,"4,395,190",,"4,410,506",,"4,431,576",,"4,441,329",,"4,453,744",,"4,465,546",,"4,483,609",,"4,482,260",,"4,488,508",,"4,502,104",,"4,525,684",,"4,536,084",,"4,548,438",,"4,566,769",,"4,590,545",,"4,598,255",,"4,611,648",,"4,630,077",,"4,658,875",,"4,666,788",,"4,684,490",,"4,707,103",,"4,737,725",,"4,745,468",,"4,757,759",,"4,776,388",,"4,802,955",,"4,811,465",,"4,832,155",,"4,859,250",,"4,884,002",,"4,890,848",,"4,905,210",,"4,929,384",,"4,956,550",,"4,967,421",,"4,983,183",,"5,010,476",,"5,040,353",,"5,048,144",,"5,066,120",,"5,094,796",,"5,130,251",,"5,137,137",,"5,150,616",,"5,158,728",,"5,156,587",,"5,163,919",,"5,185,990",,"5,214,805",,"5,249,635",,"5,264,485",,"5,286,528",
Yukon,"31,633",,"31,659",,"31,797",,"31,556",,"31,510",,"31,320",,"31,149",,"30,877",,"30,748",,"30,602",,"30,785",,"30,608",,"30,495",,"30,382",,"30,431",,"30,294",,"30,147",,"30,124",,"30,158",,"30,076",,"30,153",,"30,142",,"30,336",,"30,266",,"30,422",,"30,573",,"30,941",,"31,218",,"31,319",,"31,401",,"31,455",,"31,689",,"31,771",,"31,862",,"31,902",,"32,128",,"32,112",,"32,152",,"32,272",,"32,361",,"32,315",,"32,273",,"32,554",,"32,662",,"32,751",,"32,954",,"33,083",,"33,306",,"33,404",,"33,582",,"33,731",,"34,025",,"34,007",,"34,241",,"34,596",,"34,789",,"34,801",,"34,983",,"35,411",,"35,668",,"35,782",,"35,843",,"36,234",,"36,425",,"36,373",,"36,313",,"36,521",,"36,448",,"36,393",,"36,682",,"37,137",,"37,272",,"37,168",,"37,372",,"37,690",,"37,751",,"37,770",,"38,042",,"38,547",,"38,750",,"38,848",,"39,175",,"39,610",,"39,804",,"39,972",,"40,141",,"40,519",,"40,679",,"40,854",,"40,932",,"41,362",,"41,648",,"41,700",,"42,017",,"42,174",,"42,300",,"42,344",,"42,586",,"42,986",,"43,095",,"42,982",,"43,249",
Northwest Territories 5,"41,528",,"41,668",,"41,625",,"41,411",,"41,222",,"40,968",,"40,802",,"40,635",,"40,635",,"40,705",,"40,638",,"40,579",,"40,623",,"40,455",,"40,480",,"40,575",,"40,624",,"40,625",,"40,845",,"41,173",,"41,176",,"41,280",,"41,699",,"41,874",,"42,006",,"42,219",,"42,600",,"42,857",,"43,171",,"43,210",,"43,306",,"43,352",,"43,442",,"43,457",,"43,400",,"43,526",,"43,318",,"43,101",,"43,179",,"43,197",,"43,074",,"43,107",,"43,372",,"43,262",,"43,357",,"43,362",,"43,360",,"43,293",,"43,116",,"43,106",,"43,156",,"42,924",,"42,970",,"43,152",,"43,285",,"43,303",,"43,263",,"43,263",,"43,504",,"43,593",,"43,648",,"43,701",,"43,648",,"43,681",,"43,737",,"43,867",,"43,805",,"43,756",,"43,800",,"43,794",,"43,884",,"44,064",,"44,140",,"44,193",,"44,237",,"44,428",,"44,507",,"44,590",,"44,649",,"44,542",,"44,607",,"44,813",,"44,891",,"45,126",,"45,066",,"45,320",,"44,981",,"44,970",,"45,202",,"45,137",,"45,070",,"45,189",,"45,269",,"45,363",,"45,372",,"45,265",,"45,323",,"45,629",,"45,504",,"45,515",,"45,640",,"45,607",
Nunavut 5,"25,736",,"25,839",,"25,884",,"25,994",,"26,082",,"26,183",,"26,373",,"26,449",,"26,575",,"26,721",,"26,820",,"26,997",,"27,145",,"27,228",,"27,498",,"27,683",,"27,798",,"27,929",,"28,133",,"28,180",,"28,338",,"28,389",,"28,822",,"28,864",,"28,976",,"29,117",,"29,322",,"29,371",,"29,518",,"29,584",,"29,857",,"29,807",,"29,950",,"30,109",,"30,339",,"30,407",,"30,577",,"30,642",,"30,813",,"30,879",,"30,953",,"31,184",,"31,395",,"31,560",,"31,615",,"31,681",,"31,892",,"31,963",,"32,061",,"32,385",,"32,597",,"32,811",,"32,921",,"33,137",,"33,352",,"33,570",,"33,733",,"33,923",,"34,192",,"34,352",,"34,420",,"34,593",,"34,672",,"34,842",,"34,974",,"34,998",,"35,337",,"35,543",,"35,587",,"35,806",,"35,971",,"36,105",,"36,219",,"36,283",,"36,488",,"36,603",,"36,722",,"36,767",,"36,975",,"37,040",,"37,176",,"37,335",,"37,546",,"37,703",,"37,685",,"37,807",,"38,143",,"38,288",,"38,352",,"38,521",,"38,592",,"38,625",,"38,721",,"38,836",,"39,155",,"39,109",,"39,255",,"39,336",,"39,403",,"39,589",,"39,710",,"40,103",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
