,REF_DATE,GEO,DGUID,Offences,Age_of_accused,Sex_of_accused,Charge_and_case,Type_of_decision,VECTOR,COORDINATE,VALUE
44,1991,Manitoba,2016A000246,Sexual assault,12 to 15 years,Males,Single-charge cases,Stayed or withdrawn,v60348870,8.8.2.2.3.6,10.0
45,1991,Manitoba,2016A000246,Sexual assault,12 to 15 years,Males,Multiple-charge cases,Guilty,v60348878,8.8.2.2.4.3,22.0
46,1991,Manitoba,2016A000246,Sexual assault,12 to 15 years,Males,Multiple-charge cases,Percentage guilty,v61311461,8.8.2.2.4.4,0.73
47,1991,Manitoba,2016A000246,Sexual assault,12 to 15 years,Males,Multiple-charge cases,Acquitted,v60348880,8.8.2.2.4.5,1.0
48,1991,Manitoba,2016A000246,Sexual assault,12 to 15 years,Males,Multiple-charge cases,Stayed or withdrawn,v60348882,8.8.2.2.4.6,7.0
49,1991,Manitoba,2016A000246,Sexual assault,12 to 15 years,Males,Related charges,Guilty,v60348890,8.8.2.2.5.3,8.0
50,1991,Manitoba,2016A000246,Sexual assault,12 to 15 years,Males,Related charges,Percentage guilty,v61311462,8.8.2.2.5.4,0.18
51,1991,Manitoba,2016A000246,Sexual assault,12 to 15 years,Males,Related charges,Acquitted,v60348892,8.8.2.2.5.5,6.0
52,1991,Manitoba,2016A000246,Sexual assault,12 to 15 years,Males,Related charges,Stayed or withdrawn,v60348894,8.8.2.2.5.6,31.0
53,1991,Manitoba,2016A000246,Sexual assault,12 to 15 years,Females,Multiple-charge cases,Guilty,v60348938,8.8.2.3.4.3,1.0
54,1991,Manitoba,2016A000246,Sexual assault,12 to 15 years,Females,Multiple-charge cases,Percentage guilty,v61311466,8.8.2.3.4.4,0.5
55,1991,Manitoba,2016A000246,Sexual assault,12 to 15 years,Females,Multiple-charge cases,Stayed or withdrawn,v60348942,8.8.2.3.4.6,1.0
56,1991,Manitoba,2016A000246,Sexual assault,12 to 15 years,Females,Related charges,Stayed or withdrawn,v60348954,8.8.2.3.5.6,4.0
57,1991,Manitoba,2016A000246,Sexual assault,16 and 17 years,Males,Single-charge cases,Guilty,v60349046,8.8.3.2.3.3,11.0
58,1991,Manitoba,2016A000246,Sexual assault,16 and 17 years,Males,Single-charge cases,Percentage guilty,v61311480,8.8.3.2.3.4,0.52
59,1991,Manitoba,2016A000246,Sexual assault,16 and 17 years,Males,Single-charge cases,Acquitted,v60349048,8.8.3.2.3.5,2.0
60,1991,Manitoba,2016A000246,Sexual assault,16 and 17 years,Males,Single-charge cases,Stayed or withdrawn,v60349050,8.8.3.2.3.6,8.0
61,1991,Manitoba,2016A000246,Sexual assault,16 and 17 years,Males,Multiple-charge cases,Guilty,v60349058,8.8.3.2.4.3,17.0
62,1991,Manitoba,2016A000246,Sexual assault,16 and 17 years,Males,Multiple-charge cases,Percentage guilty,v61311481,8.8.3.2.4.4,0.65
63,1991,Manitoba,2016A000246,Sexual assault,16 and 17 years,Males,Multiple-charge cases,Acquitted,v60349060,8.8.3.2.4.5,3.0
64,1991,Manitoba,2016A000246,Sexual assault,16 and 17 years,Males,Multiple-charge cases,Stayed or withdrawn,v60349062,8.8.3.2.4.6,6.0
65,1991,Manitoba,2016A000246,Sexual assault,16 and 17 years,Males,Related charges,Guilty,v60349070,8.8.3.2.5.3,4.0
66,1991,Manitoba,2016A000246,Sexual assault,16 and 17 years,Males,Related charges,Percentage guilty,v61311482,8.8.3.2.5.4,0.06
67,1991,Manitoba,2016A000246,Sexual assault,16 and 17 years,Males,Related charges,Acquitted,v60349072,8.8.3.2.5.5,2.0
68,1991,Manitoba,2016A000246,Sexual assault,16 and 17 years,Males,Related charges,Stayed or withdrawn,v60349074,8.8.3.2.5.6,61.0
69,1991,Manitoba,2016A000246,Sexual assault,16 and 17 years,Females,Single-charge cases,Guilty,v60349106,8.8.3.3.3.3,1.0
