,REF_DATE,GEO,DGUID,Offences,Age_of_accused,Sex_of_accused,Charge_and_case,Type_of_decision,VECTOR,COORDINATE,VALUE
1976,1992,Manitoba,2016A000246,Impaired driving,12 to 15 years,Females,Single-charge cases,Percentage guilty,v61314325,8.34.2.3.3.4,1.0
1977,1992,Manitoba,2016A000246,Impaired driving,12 to 15 years,Females,Multiple-charge cases,Guilty,v60375458,8.34.2.3.4.3,1.0
1978,1992,Manitoba,2016A000246,Impaired driving,12 to 15 years,Females,Multiple-charge cases,Percentage guilty,v61314326,8.34.2.3.4.4,1.0
1979,1992,Manitoba,2016A000246,Impaired driving,12 to 15 years,Females,Related charges,Stayed or withdrawn,v60375474,8.34.2.3.5.6,1.0
1980,1992,Manitoba,2016A000246,Impaired driving,16 and 17 years,Males,Single-charge cases,Guilty,v60375566,8.34.3.2.3.3,7.0
1981,1992,Manitoba,2016A000246,Impaired driving,16 and 17 years,Males,Single-charge cases,Percentage guilty,v61314340,8.34.3.2.3.4,0.78
1982,1992,Manitoba,2016A000246,Impaired driving,16 and 17 years,Males,Single-charge cases,Stayed or withdrawn,v60375570,8.34.3.2.3.6,2.0
1983,1992,Manitoba,2016A000246,Impaired driving,16 and 17 years,Males,Multiple-charge cases,Guilty,v60375578,8.34.3.2.4.3,50.0
1984,1992,Manitoba,2016A000246,Impaired driving,16 and 17 years,Males,Multiple-charge cases,Percentage guilty,v61314341,8.34.3.2.4.4,0.93
1985,1992,Manitoba,2016A000246,Impaired driving,16 and 17 years,Males,Multiple-charge cases,Stayed or withdrawn,v60375582,8.34.3.2.4.6,4.0
1986,1992,Manitoba,2016A000246,Impaired driving,16 and 17 years,Males,Related charges,Guilty,v60375590,8.34.3.2.5.3,15.0
1987,1992,Manitoba,2016A000246,Impaired driving,16 and 17 years,Males,Related charges,Percentage guilty,v61314342,8.34.3.2.5.4,0.17
1988,1992,Manitoba,2016A000246,Impaired driving,16 and 17 years,Males,Related charges,Acquitted,v60375592,8.34.3.2.5.5,2.0
1989,1992,Manitoba,2016A000246,Impaired driving,16 and 17 years,Males,Related charges,Stayed or withdrawn,v60375594,8.34.3.2.5.6,72.0
1990,1992,Manitoba,2016A000246,Impaired driving,16 and 17 years,Females,Single-charge cases,Guilty,v60375626,8.34.3.3.3.3,1.0
1991,1992,Manitoba,2016A000246,Impaired driving,16 and 17 years,Females,Single-charge cases,Percentage guilty,v61314345,8.34.3.3.3.4,1.0
1992,1992,Manitoba,2016A000246,Impaired driving,16 and 17 years,Females,Multiple-charge cases,Guilty,v60375638,8.34.3.3.4.3,10.0
1993,1992,Manitoba,2016A000246,Impaired driving,16 and 17 years,Females,Multiple-charge cases,Percentage guilty,v61314346,8.34.3.3.4.4,0.83
1994,1992,Manitoba,2016A000246,Impaired driving,16 and 17 years,Females,Multiple-charge cases,Stayed or withdrawn,v60375642,8.34.3.3.4.6,2.0
1995,1992,Manitoba,2016A000246,Impaired driving,16 and 17 years,Females,Related charges,Guilty,v60375650,8.34.3.3.5.3,5.0
1996,1992,Manitoba,2016A000246,Impaired driving,16 and 17 years,Females,Related charges,Percentage guilty,v61314347,8.34.3.3.5.4,0.25
1997,1992,Manitoba,2016A000246,Impaired driving,16 and 17 years,Females,Related charges,Stayed or withdrawn,v60375654,8.34.3.3.5.6,15.0
1998,1992,Manitoba,2016A000246,Impaired driving,Other ages,Males,Multiple-charge cases,Guilty,v60375758,8.34.4.2.4.3,1.0
1999,1992,Manitoba,2016A000246,Impaired driving,Other ages,Males,Multiple-charge cases,Percentage guilty,v61314361,8.34.4.2.4.4,1.0
2000,1992,Manitoba,2016A000246,Impaired driving,Other ages,Males,Related charges,Stayed or withdrawn,v60375774,8.34.4.2.5.6,1.0
2001,1992,Manitoba,2016A000246,Other Criminal Code traffic,12 to 15 years,Males,Single-charge cases,Guilty,v60376406,8.35.2.2.3.3,2.0
2002,1992,Manitoba,2016A000246,Other Criminal Code traffic,12 to 15 years,Males,Single-charge cases,Percentage guilty,v61314430,8.35.2.2.3.4,1.0
2003,1992,Manitoba,2016A000246,Other Criminal Code traffic,12 to 15 years,Males,Multiple-charge cases,Guilty,v60376418,8.35.2.2.4.3,3.0
2004,1992,Manitoba,2016A000246,Other Criminal Code traffic,12 to 15 years,Males,Multiple-charge cases,Percentage guilty,v61314431,8.35.2.2.4.4,1.0
2005,1992,Manitoba,2016A000246,Other Criminal Code traffic,12 to 15 years,Males,Related charges,Guilty,v60376430,8.35.2.2.5.3,4.0
2006,1992,Manitoba,2016A000246,Other Criminal Code traffic,12 to 15 years,Males,Related charges,Percentage guilty,v61314432,8.35.2.2.5.4,0.33
2007,1992,Manitoba,2016A000246,Other Criminal Code traffic,12 to 15 years,Males,Related charges,Acquitted,v60376432,8.35.2.2.5.5,2.0
2008,1992,Manitoba,2016A000246,Other Criminal Code traffic,12 to 15 years,Males,Related charges,Stayed or withdrawn,v60376434,8.35.2.2.5.6,6.0
2009,1992,Manitoba,2016A000246,Other Criminal Code traffic,16 and 17 years,Males,Single-charge cases,Guilty,v60376586,8.35.3.2.3.3,3.0
2010,1992,Manitoba,2016A000246,Other Criminal Code traffic,16 and 17 years,Males,Single-charge cases,Percentage guilty,v61314450,8.35.3.2.3.4,0.38
2011,1992,Manitoba,2016A000246,Other Criminal Code traffic,16 and 17 years,Males,Single-charge cases,Acquitted,v60376588,8.35.3.2.3.5,2.0
2012,1992,Manitoba,2016A000246,Other Criminal Code traffic,16 and 17 years,Males,Single-charge cases,Stayed or withdrawn,v60376590,8.35.3.2.3.6,3.0
2013,1992,Manitoba,2016A000246,Other Criminal Code traffic,16 and 17 years,Males,Multiple-charge cases,Guilty,v60376598,8.35.3.2.4.3,12.0
2014,1992,Manitoba,2016A000246,Other Criminal Code traffic,16 and 17 years,Males,Multiple-charge cases,Percentage guilty,v61314451,8.35.3.2.4.4,0.8
2015,1992,Manitoba,2016A000246,Other Criminal Code traffic,16 and 17 years,Males,Multiple-charge cases,Stayed or withdrawn,v60376602,8.35.3.2.4.6,3.0
2016,1992,Manitoba,2016A000246,Other Criminal Code traffic,16 and 17 years,Males,Related charges,Guilty,v60376610,8.35.3.2.5.3,9.0
2017,1992,Manitoba,2016A000246,Other Criminal Code traffic,16 and 17 years,Males,Related charges,Percentage guilty,v61314452,8.35.3.2.5.4,0.35
2018,1992,Manitoba,2016A000246,Other Criminal Code traffic,16 and 17 years,Males,Related charges,Acquitted,v60376612,8.35.3.2.5.5,8.0
2019,1992,Manitoba,2016A000246,Other Criminal Code traffic,16 and 17 years,Males,Related charges,Stayed or withdrawn,v60376614,8.35.3.2.5.6,9.0
2020,1992,Manitoba,2016A000246,Drug possession,12 to 15 years,Males,Single-charge cases,Guilty,v60378446,8.37.2.2.3.3,2.0
2021,1992,Manitoba,2016A000246,Drug possession,12 to 15 years,Males,Single-charge cases,Percentage guilty,v61314650,8.37.2.2.3.4,0.22
2022,1992,Manitoba,2016A000246,Drug possession,12 to 15 years,Males,Single-charge cases,Stayed or withdrawn,v60378450,8.37.2.2.3.6,6.0
2023,1992,Manitoba,2016A000246,Drug possession,12 to 15 years,Males,Single-charge cases,Other decisions,v60378452,8.37.2.2.3.7,1.0
2024,1992,Manitoba,2016A000246,Drug possession,12 to 15 years,Males,Multiple-charge cases,Guilty,v60378458,8.37.2.2.4.3,1.0
2025,1992,Manitoba,2016A000246,Drug possession,12 to 15 years,Males,Multiple-charge cases,Percentage guilty,v61314651,8.37.2.2.4.4,1.0
2026,1992,Manitoba,2016A000246,Drug possession,12 to 15 years,Males,Related charges,Guilty,v60378470,8.37.2.2.5.3,3.0
2027,1992,Manitoba,2016A000246,Drug possession,12 to 15 years,Males,Related charges,Percentage guilty,v61314652,8.37.2.2.5.4,0.5
2028,1992,Manitoba,2016A000246,Drug possession,12 to 15 years,Males,Related charges,Stayed or withdrawn,v60378474,8.37.2.2.5.6,3.0
2029,1992,Manitoba,2016A000246,Drug possession,12 to 15 years,Females,Single-charge cases,Guilty,v60378506,8.37.2.3.3.3,2.0
2030,1992,Manitoba,2016A000246,Drug possession,12 to 15 years,Females,Single-charge cases,Percentage guilty,v61314655,8.37.2.3.3.4,0.4
2031,1992,Manitoba,2016A000246,Drug possession,12 to 15 years,Females,Single-charge cases,Stayed or withdrawn,v60378510,8.37.2.3.3.6,3.0
2032,1992,Manitoba,2016A000246,Drug possession,12 to 15 years,Females,Related charges,Guilty,v60378530,8.37.2.3.5.3,3.0
2033,1992,Manitoba,2016A000246,Drug possession,12 to 15 years,Females,Related charges,Percentage guilty,v61314657,8.37.2.3.5.4,1.0
2034,1992,Manitoba,2016A000246,Drug possession,16 and 17 years,Males,Single-charge cases,Guilty,v60378626,8.37.3.2.3.3,21.0
2035,1992,Manitoba,2016A000246,Drug possession,16 and 17 years,Males,Single-charge cases,Percentage guilty,v61314670,8.37.3.2.3.4,0.64
2036,1992,Manitoba,2016A000246,Drug possession,16 and 17 years,Males,Single-charge cases,Acquitted,v60378628,8.37.3.2.3.5,1.0
2037,1992,Manitoba,2016A000246,Drug possession,16 and 17 years,Males,Single-charge cases,Stayed or withdrawn,v60378630,8.37.3.2.3.6,10.0
2038,1992,Manitoba,2016A000246,Drug possession,16 and 17 years,Males,Single-charge cases,Other decisions,v60378632,8.37.3.2.3.7,1.0
2039,1992,Manitoba,2016A000246,Drug possession,16 and 17 years,Males,Multiple-charge cases,Guilty,v60378638,8.37.3.2.4.3,3.0
2040,1992,Manitoba,2016A000246,Drug possession,16 and 17 years,Males,Multiple-charge cases,Percentage guilty,v61314671,8.37.3.2.4.4,0.75
2041,1992,Manitoba,2016A000246,Drug possession,16 and 17 years,Males,Multiple-charge cases,Stayed or withdrawn,v60378642,8.37.3.2.4.6,1.0
2042,1992,Manitoba,2016A000246,Drug possession,16 and 17 years,Males,Related charges,Guilty,v60378650,8.37.3.2.5.3,12.0
2043,1992,Manitoba,2016A000246,Drug possession,16 and 17 years,Males,Related charges,Percentage guilty,v61314672,8.37.3.2.5.4,0.57
2044,1992,Manitoba,2016A000246,Drug possession,16 and 17 years,Males,Related charges,Stayed or withdrawn,v60378654,8.37.3.2.5.6,9.0
2045,1992,Manitoba,2016A000246,Drug possession,16 and 17 years,Females,Single-charge cases,Guilty,v60378686,8.37.3.3.3.3,2.0
2046,1992,Manitoba,2016A000246,Drug possession,16 and 17 years,Females,Single-charge cases,Percentage guilty,v61314675,8.37.3.3.3.4,0.33
2047,1992,Manitoba,2016A000246,Drug possession,16 and 17 years,Females,Single-charge cases,Stayed or withdrawn,v60378690,8.37.3.3.3.6,4.0
2048,1992,Manitoba,2016A000246,Drug possession,16 and 17 years,Females,Multiple-charge cases,Guilty,v60378698,8.37.3.3.4.3,1.0
2049,1992,Manitoba,2016A000246,Drug possession,16 and 17 years,Females,Multiple-charge cases,Percentage guilty,v61314676,8.37.3.3.4.4,1.0
2050,1992,Manitoba,2016A000246,Drug possession,16 and 17 years,Females,Related charges,Stayed or withdrawn,v60378714,8.37.3.3.5.6,2.0
2051,1992,Manitoba,2016A000246,Other drug offences,12 to 15 years,Males,Single-charge cases,Stayed or withdrawn,v60379470,8.38.2.2.3.6,1.0
2052,1992,Manitoba,2016A000246,Other drug offences,12 to 15 years,Males,Multiple-charge cases,Guilty,v60379478,8.38.2.2.4.3,3.0
2053,1992,Manitoba,2016A000246,Other drug offences,12 to 15 years,Males,Multiple-charge cases,Percentage guilty,v61314761,8.38.2.2.4.4,0.75
2054,1992,Manitoba,2016A000246,Other drug offences,12 to 15 years,Males,Multiple-charge cases,Stayed or withdrawn,v60379482,8.38.2.2.4.6,1.0
2055,1992,Manitoba,2016A000246,Other drug offences,12 to 15 years,Males,Related charges,Stayed or withdrawn,v60379494,8.38.2.2.5.6,2.0
2056,1992,Manitoba,2016A000246,Other drug offences,12 to 15 years,Females,Multiple-charge cases,Stayed or withdrawn,v60379542,8.38.2.3.4.6,2.0
2057,1992,Manitoba,2016A000246,Other drug offences,12 to 15 years,Females,Related charges,Stayed or withdrawn,v60379554,8.38.2.3.5.6,3.0
2058,1992,Manitoba,2016A000246,Other drug offences,16 and 17 years,Males,Single-charge cases,Guilty,v60379646,8.38.3.2.3.3,7.0
2059,1992,Manitoba,2016A000246,Other drug offences,16 and 17 years,Males,Single-charge cases,Percentage guilty,v61314780,8.38.3.2.3.4,0.88
2060,1992,Manitoba,2016A000246,Other drug offences,16 and 17 years,Males,Single-charge cases,Acquitted,v60379648,8.38.3.2.3.5,1.0
2061,1992,Manitoba,2016A000246,Other drug offences,16 and 17 years,Males,Multiple-charge cases,Guilty,v60379658,8.38.3.2.4.3,8.0
2062,1992,Manitoba,2016A000246,Other drug offences,16 and 17 years,Males,Multiple-charge cases,Percentage guilty,v61314781,8.38.3.2.4.4,1.0
2063,1992,Manitoba,2016A000246,Other drug offences,16 and 17 years,Males,Related charges,Stayed or withdrawn,v60379674,8.38.3.2.5.6,6.0
2064,1992,Manitoba,2016A000246,Other drug offences,16 and 17 years,Males,Related charges,Other decisions,v60379676,8.38.3.2.5.7,1.0
2065,1992,Manitoba,2016A000246,Other drug offences,16 and 17 years,Females,Single-charge cases,Guilty,v60379706,8.38.3.3.3.3,1.0
2066,1992,Manitoba,2016A000246,Other drug offences,16 and 17 years,Females,Single-charge cases,Percentage guilty,v61314785,8.38.3.3.3.4,0.2
2067,1992,Manitoba,2016A000246,Other drug offences,16 and 17 years,Females,Single-charge cases,Stayed or withdrawn,v60379710,8.38.3.3.3.6,4.0
2068,1992,Manitoba,2016A000246,Other drug offences,16 and 17 years,Females,Multiple-charge cases,Guilty,v60379718,8.38.3.3.4.3,1.0
2069,1992,Manitoba,2016A000246,Other drug offences,16 and 17 years,Females,Multiple-charge cases,Percentage guilty,v61314786,8.38.3.3.4.4,1.0
2070,1992,Manitoba,2016A000246,Other drug offences,16 and 17 years,Females,Related charges,Stayed or withdrawn,v60379734,8.38.3.3.5.6,2.0
2071,1992,Manitoba,2016A000246,Residual federal statutes,12 to 15 years,Males,Single-charge cases,Stayed or withdrawn,v60381510,8.40.2.2.3.6,1.0
2072,1992,Manitoba,2016A000246,Residual federal statutes,16 and 17 years,Males,Single-charge cases,Stayed or withdrawn,v60381690,8.40.3.2.3.6,4.0
2073,1992,Manitoba,2016A000246,Residual federal statutes,16 and 17 years,Males,Multiple-charge cases,Other decisions,v60381704,8.40.3.2.4.7,1.0
2074,1992,Manitoba,2016A000246,Residual federal statutes,16 and 17 years,Females,Single-charge cases,Guilty,v60381746,8.40.3.3.3.3,1.0
2075,1992,Manitoba,2016A000246,Residual federal statutes,16 and 17 years,Females,Single-charge cases,Percentage guilty,v61315005,8.40.3.3.3.4,1.0
2076,1993,Manitoba,2016A000246,Homicide,12 to 15 years,Males,Single-charge cases,Stayed or withdrawn,v60345810,8.5.2.2.3.6,1.0
2077,1993,Manitoba,2016A000246,Homicide,12 to 15 years,Males,Multiple-charge cases,Stayed or withdrawn,v60345822,8.5.2.2.4.6,1.0
2078,1993,Manitoba,2016A000246,Homicide,16 and 17 years,Males,Single-charge cases,Transferred to adult court,v60345984,8.5.3.2.3.2,1.0
2079,1993,Manitoba,2016A000246,Homicide,16 and 17 years,Males,Related charges,Stayed or withdrawn,v60346014,8.5.3.2.5.6,1.0
2080,1993,Manitoba,2016A000246,Attempted murder,12 to 15 years,Males,Multiple-charge cases,Transferred to adult court,v60346836,8.6.2.2.4.2,1.0
2081,1993,Manitoba,2016A000246,Attempted murder,16 and 17 years,Males,Single-charge cases,Guilty,v60347006,8.6.3.2.3.3,1.0
2082,1993,Manitoba,2016A000246,Attempted murder,16 and 17 years,Males,Single-charge cases,Percentage guilty,v61311260,8.6.3.2.3.4,1.0
2083,1993,Manitoba,2016A000246,Attempted murder,16 and 17 years,Males,Multiple-charge cases,Transferred to adult court,v60347016,8.6.3.2.4.2,6.0
2084,1993,Manitoba,2016A000246,Attempted murder,16 and 17 years,Males,Multiple-charge cases,Stayed or withdrawn,v60347022,8.6.3.2.4.6,1.0
2085,1993,Manitoba,2016A000246,Attempted murder,16 and 17 years,Males,Related charges,Transferred to adult court,v60347028,8.6.3.2.5.2,1.0
2086,1993,Manitoba,2016A000246,Attempted murder,16 and 17 years,Males,Related charges,Acquitted,v60347032,8.6.3.2.5.5,2.0
2087,1993,Manitoba,2016A000246,Attempted murder,16 and 17 years,Males,Related charges,Stayed or withdrawn,v60347034,8.6.3.2.5.6,1.0
2088,1993,Manitoba,2016A000246,Robbery,12 to 15 years,Males,Single-charge cases,Guilty,v60347846,8.7.2.2.3.3,10.0
2089,1993,Manitoba,2016A000246,Robbery,12 to 15 years,Males,Single-charge cases,Percentage guilty,v61311350,8.7.2.2.3.4,0.59
2090,1993,Manitoba,2016A000246,Robbery,12 to 15 years,Males,Single-charge cases,Acquitted,v60347848,8.7.2.2.3.5,1.0
2091,1993,Manitoba,2016A000246,Robbery,12 to 15 years,Males,Single-charge cases,Stayed or withdrawn,v60347850,8.7.2.2.3.6,6.0
2092,1993,Manitoba,2016A000246,Robbery,12 to 15 years,Males,Multiple-charge cases,Transferred to adult court,v60347856,8.7.2.2.4.2,1.0
2093,1993,Manitoba,2016A000246,Robbery,12 to 15 years,Males,Multiple-charge cases,Guilty,v60347858,8.7.2.2.4.3,29.0
2094,1993,Manitoba,2016A000246,Robbery,12 to 15 years,Males,Multiple-charge cases,Percentage guilty,v61311351,8.7.2.2.4.4,0.69
2095,1993,Manitoba,2016A000246,Robbery,12 to 15 years,Males,Multiple-charge cases,Acquitted,v60347860,8.7.2.2.4.5,1.0
2096,1993,Manitoba,2016A000246,Robbery,12 to 15 years,Males,Multiple-charge cases,Stayed or withdrawn,v60347862,8.7.2.2.4.6,11.0
2097,1993,Manitoba,2016A000246,Robbery,12 to 15 years,Males,Related charges,Guilty,v60347870,8.7.2.2.5.3,15.0
2098,1993,Manitoba,2016A000246,Robbery,12 to 15 years,Males,Related charges,Percentage guilty,v61311352,8.7.2.2.5.4,0.12
2099,1993,Manitoba,2016A000246,Robbery,12 to 15 years,Males,Related charges,Acquitted,v60347872,8.7.2.2.5.5,30.0
2100,1993,Manitoba,2016A000246,Robbery,12 to 15 years,Males,Related charges,Stayed or withdrawn,v60347874,8.7.2.2.5.6,85.0
2101,1993,Manitoba,2016A000246,Robbery,12 to 15 years,Females,Single-charge cases,Guilty,v60347906,8.7.2.3.3.3,2.0
2102,1993,Manitoba,2016A000246,Robbery,12 to 15 years,Females,Single-charge cases,Percentage guilty,v61311355,8.7.2.3.3.4,0.4
2103,1993,Manitoba,2016A000246,Robbery,12 to 15 years,Females,Single-charge cases,Stayed or withdrawn,v60347910,8.7.2.3.3.6,3.0
2104,1993,Manitoba,2016A000246,Robbery,12 to 15 years,Females,Multiple-charge cases,Guilty,v60347918,8.7.2.3.4.3,6.0
2105,1993,Manitoba,2016A000246,Robbery,12 to 15 years,Females,Multiple-charge cases,Percentage guilty,v61311356,8.7.2.3.4.4,0.75
2106,1993,Manitoba,2016A000246,Robbery,12 to 15 years,Females,Multiple-charge cases,Stayed or withdrawn,v60347922,8.7.2.3.4.6,2.0
2107,1993,Manitoba,2016A000246,Robbery,12 to 15 years,Females,Related charges,Guilty,v60347930,8.7.2.3.5.3,1.0
2108,1993,Manitoba,2016A000246,Robbery,12 to 15 years,Females,Related charges,Percentage guilty,v61311357,8.7.2.3.5.4,0.17
2109,1993,Manitoba,2016A000246,Robbery,12 to 15 years,Females,Related charges,Stayed or withdrawn,v60347934,8.7.2.3.5.6,5.0
2110,1993,Manitoba,2016A000246,Robbery,16 and 17 years,Males,Single-charge cases,Guilty,v60348026,8.7.3.2.3.3,4.0
2111,1993,Manitoba,2016A000246,Robbery,16 and 17 years,Males,Single-charge cases,Percentage guilty,v61311370,8.7.3.2.3.4,0.31
2112,1993,Manitoba,2016A000246,Robbery,16 and 17 years,Males,Single-charge cases,Stayed or withdrawn,v60348030,8.7.3.2.3.6,9.0
2113,1993,Manitoba,2016A000246,Robbery,16 and 17 years,Males,Multiple-charge cases,Transferred to adult court,v60348036,8.7.3.2.4.2,2.0
2114,1993,Manitoba,2016A000246,Robbery,16 and 17 years,Males,Multiple-charge cases,Guilty,v60348038,8.7.3.2.4.3,25.0
2115,1993,Manitoba,2016A000246,Robbery,16 and 17 years,Males,Multiple-charge cases,Percentage guilty,v61311371,8.7.3.2.4.4,0.61
2116,1993,Manitoba,2016A000246,Robbery,16 and 17 years,Males,Multiple-charge cases,Acquitted,v60348040,8.7.3.2.4.5,3.0
2117,1993,Manitoba,2016A000246,Robbery,16 and 17 years,Males,Multiple-charge cases,Stayed or withdrawn,v60348042,8.7.3.2.4.6,11.0
2118,1993,Manitoba,2016A000246,Robbery,16 and 17 years,Males,Related charges,Transferred to adult court,v60348048,8.7.3.2.5.2,16.0
2119,1993,Manitoba,2016A000246,Robbery,16 and 17 years,Males,Related charges,Guilty,v60348050,8.7.3.2.5.3,5.0
2120,1993,Manitoba,2016A000246,Robbery,16 and 17 years,Males,Related charges,Percentage guilty,v61311372,8.7.3.2.5.4,0.06
2121,1993,Manitoba,2016A000246,Robbery,16 and 17 years,Males,Related charges,Acquitted,v60348052,8.7.3.2.5.5,12.0
2122,1993,Manitoba,2016A000246,Robbery,16 and 17 years,Males,Related charges,Stayed or withdrawn,v60348054,8.7.3.2.5.6,48.0
2123,1993,Manitoba,2016A000246,Robbery,16 and 17 years,Females,Single-charge cases,Stayed or withdrawn,v60348090,8.7.3.3.3.6,2.0
2124,1993,Manitoba,2016A000246,Robbery,16 and 17 years,Females,Multiple-charge cases,Guilty,v60348098,8.7.3.3.4.3,3.0
2125,1993,Manitoba,2016A000246,Robbery,16 and 17 years,Females,Multiple-charge cases,Percentage guilty,v61311376,8.7.3.3.4.4,0.75
2126,1993,Manitoba,2016A000246,Robbery,16 and 17 years,Females,Multiple-charge cases,Stayed or withdrawn,v60348102,8.7.3.3.4.6,1.0
2127,1993,Manitoba,2016A000246,Robbery,16 and 17 years,Females,Related charges,Acquitted,v60348112,8.7.3.3.5.5,1.0
2128,1993,Manitoba,2016A000246,Robbery,16 and 17 years,Females,Related charges,Stayed or withdrawn,v60348114,8.7.3.3.5.6,2.0
2129,1993,Manitoba,2016A000246,Robbery,Other ages,Females,Multiple-charge cases,Stayed or withdrawn,v60348282,8.7.4.3.4.6,1.0
2130,1993,Manitoba,2016A000246,Sexual assault,12 to 15 years,Males,Single-charge cases,Guilty,v60348866,8.8.2.2.3.3,11.0
2131,1993,Manitoba,2016A000246,Sexual assault,12 to 15 years,Males,Single-charge cases,Percentage guilty,v61311460,8.8.2.2.3.4,0.38
2132,1993,Manitoba,2016A000246,Sexual assault,12 to 15 years,Males,Single-charge cases,Acquitted,v60348868,8.8.2.2.3.5,3.0
2133,1993,Manitoba,2016A000246,Sexual assault,12 to 15 years,Males,Single-charge cases,Stayed or withdrawn,v60348870,8.8.2.2.3.6,15.0
2134,1993,Manitoba,2016A000246,Sexual assault,12 to 15 years,Males,Multiple-charge cases,Guilty,v60348878,8.8.2.2.4.3,28.0
2135,1993,Manitoba,2016A000246,Sexual assault,12 to 15 years,Males,Multiple-charge cases,Percentage guilty,v61311461,8.8.2.2.4.4,0.65
2136,1993,Manitoba,2016A000246,Sexual assault,12 to 15 years,Males,Multiple-charge cases,Acquitted,v60348880,8.8.2.2.4.5,3.0
2137,1993,Manitoba,2016A000246,Sexual assault,12 to 15 years,Males,Multiple-charge cases,Stayed or withdrawn,v60348882,8.8.2.2.4.6,12.0
2138,1993,Manitoba,2016A000246,Sexual assault,12 to 15 years,Males,Related charges,Guilty,v60348890,8.8.2.2.5.3,6.0
2139,1993,Manitoba,2016A000246,Sexual assault,12 to 15 years,Males,Related charges,Percentage guilty,v61311462,8.8.2.2.5.4,0.08
2140,1993,Manitoba,2016A000246,Sexual assault,12 to 15 years,Males,Related charges,Acquitted,v60348892,8.8.2.2.5.5,11.0
2141,1993,Manitoba,2016A000246,Sexual assault,12 to 15 years,Males,Related charges,Stayed or withdrawn,v60348894,8.8.2.2.5.6,56.0
2142,1993,Manitoba,2016A000246,Sexual assault,12 to 15 years,Females,Single-charge cases,Acquitted,v60348928,8.8.2.3.3.5,1.0
2143,1993,Manitoba,2016A000246,Sexual assault,12 to 15 years,Females,Single-charge cases,Stayed or withdrawn,v60348930,8.8.2.3.3.6,4.0
2144,1993,Manitoba,2016A000246,Sexual assault,12 to 15 years,Females,Related charges,Stayed or withdrawn,v60348954,8.8.2.3.5.6,2.0
2145,1993,Manitoba,2016A000246,Sexual assault,16 and 17 years,Males,Single-charge cases,Guilty,v60349046,8.8.3.2.3.3,10.0
2146,1993,Manitoba,2016A000246,Sexual assault,16 and 17 years,Males,Single-charge cases,Percentage guilty,v61311480,8.8.3.2.3.4,0.42
2147,1993,Manitoba,2016A000246,Sexual assault,16 and 17 years,Males,Single-charge cases,Acquitted,v60349048,8.8.3.2.3.5,3.0
2148,1993,Manitoba,2016A000246,Sexual assault,16 and 17 years,Males,Single-charge cases,Stayed or withdrawn,v60349050,8.8.3.2.3.6,11.0
2149,1993,Manitoba,2016A000246,Sexual assault,16 and 17 years,Males,Multiple-charge cases,Guilty,v60349058,8.8.3.2.4.3,16.0
2150,1993,Manitoba,2016A000246,Sexual assault,16 and 17 years,Males,Multiple-charge cases,Percentage guilty,v61311481,8.8.3.2.4.4,0.67
2151,1993,Manitoba,2016A000246,Sexual assault,16 and 17 years,Males,Multiple-charge cases,Stayed or withdrawn,v60349062,8.8.3.2.4.6,8.0
2152,1993,Manitoba,2016A000246,Sexual assault,16 and 17 years,Males,Related charges,Guilty,v60349070,8.8.3.2.5.3,3.0
2153,1993,Manitoba,2016A000246,Sexual assault,16 and 17 years,Males,Related charges,Percentage guilty,v61311482,8.8.3.2.5.4,0.07
2154,1993,Manitoba,2016A000246,Sexual assault,16 and 17 years,Males,Related charges,Acquitted,v60349072,8.8.3.2.5.5,2.0
2155,1993,Manitoba,2016A000246,Sexual assault,16 and 17 years,Males,Related charges,Stayed or withdrawn,v60349074,8.8.3.2.5.6,37.0
2156,1993,Manitoba,2016A000246,Sexual assault,16 and 17 years,Females,Multiple-charge cases,Guilty,v60349118,8.8.3.3.4.3,1.0
2157,1993,Manitoba,2016A000246,Sexual assault,16 and 17 years,Females,Multiple-charge cases,Percentage guilty,v61311486,8.8.3.3.4.4,1.0
2158,1993,Manitoba,2016A000246,Sexual assault,Other ages,Males,Multiple-charge cases,Guilty,v60349238,8.8.4.2.4.3,1.0
2159,1993,Manitoba,2016A000246,Sexual assault,Other ages,Males,Multiple-charge cases,Percentage guilty,v61311501,8.8.4.2.4.4,0.5
2160,1993,Manitoba,2016A000246,Sexual assault,Other ages,Males,Multiple-charge cases,Stayed or withdrawn,v60349242,8.8.4.2.4.6,1.0
2161,1993,Manitoba,2016A000246,Sexual assault,Other ages,Males,Related charges,Stayed or withdrawn,v60349254,8.8.4.2.5.6,4.0
2162,1993,Manitoba,2016A000246,Other sexual offences,12 to 15 years,Males,Single-charge cases,Guilty,v60349886,8.9.2.2.3.3,3.0
2163,1993,Manitoba,2016A000246,Other sexual offences,12 to 15 years,Males,Single-charge cases,Percentage guilty,v61311570,8.9.2.2.3.4,0.75
2164,1993,Manitoba,2016A000246,Other sexual offences,12 to 15 years,Males,Single-charge cases,Stayed or withdrawn,v60349890,8.9.2.2.3.6,1.0
2165,1993,Manitoba,2016A000246,Other sexual offences,12 to 15 years,Males,Multiple-charge cases,Guilty,v60349898,8.9.2.2.4.3,15.0
2166,1993,Manitoba,2016A000246,Other sexual offences,12 to 15 years,Males,Multiple-charge cases,Percentage guilty,v61311571,8.9.2.2.4.4,0.71
2167,1993,Manitoba,2016A000246,Other sexual offences,12 to 15 years,Males,Multiple-charge cases,Acquitted,v60349900,8.9.2.2.4.5,1.0
